beta_kl,lambda_sigreg,run_name,ckpt_dir,rec,kl,offdiag,active_0_1,active_0_5,total,ckpt_stamp
1e-3,0.0,s5_b1e_3_sig_0_200ep,checkpoints/s5_b1e_3_sig_0_200ep_20260504_175617,0.1478012017905712,48.95375728607178,0.019959293771535158,3072.0,954.0,0.19675496220588684,20260504_175617
1e-3,1.0,s5_b1e_3_sig_1_200ep,checkpoints/s5_b1e_3_sig_1_200ep_20260504_175617,0.1416270211338997,49.370327949523926,0.02014342788606882,3072.0,339.0,0.19106490910053253,20260504_175617
1e-3,3.0,s5_b1e_3_sig_3_200ep,checkpoints/s5_b1e_3_sig_3_200ep_20260504_175617,0.14724145457148552,49.93737030029297,0.020133146084845066,3072.0,1017.0,0.19738205894827843,20260504_175617
1e-3,10.0,s5_b1e_3_sig_10_200ep,checkpoints/s5_b1e_3_sig_10_200ep_20260504_175617,0.1401306502521038,48.77770137786865,0.020135334692895412,3072.0,205.0,0.18959230557084084,20260504_175617
1e-3,30.0,s5_b1e_3_sig_30_200ep,checkpoints/s5_b1e_3_sig_30_200ep_20260504_175617,0.14430614933371544,47.260966300964355,0.020027337595820427,3072.0,250.0,0.1936308853328228,20260504_175617
1e-3,100.0,s5_b1e_3_sig_100_200ep,checkpoints/s5_b1e_3_sig_100_200ep_20260504_175617,0.1535729393362999,43.9999942779541,0.020070075057446957,2987.0,38.0,0.2043536752462387,20260504_175617
1e-3,300.0,s5_b1e_3_sig_300_200ep,checkpoints/s5_b1e_3_sig_300_200ep_20260504_175617,0.1866849772632122,35.06946086883545,0.019895500503480434,2645.0,30.0,0.2418687529861927,20260504_175617
1e-3,1000.0,s5_b1e_3_sig_1000_200ep,checkpoints/s5_b1e_3_sig_1000_200ep_20260504_175617,0.26203224062919617,22.144644737243652,0.020061161369085312,10.0,8.0,0.3515719473361969,20260504_175617
1e-4,0.0,s5_b1e_4_sig_0_200ep,checkpoints/s5_b1e_4_sig_0_200ep_20260504_171413,0.09371642395853996,168.78485107421875,0.020061734598129988,3072.0,3009.0,0.11059490963816643,20260504_171413
1e-4,1.0,s5_b1e_4_sig_1_200ep,checkpoints/s5_b1e_4_sig_1_200ep_20260504_171413,0.09301677159965038,171.7400360107422,0.02005261043086648,3072.0,3021.0,0.11025900393724442,20260504_171413
1e-4,3.0,s5_b1e_4_sig_3_200ep,checkpoints/s5_b1e_4_sig_3_200ep_20260504_171413,0.09179376251995564,172.70880889892578,0.020095374435186386,3072.0,3022.0,0.10927028767764568,20260504_171413
1e-4,10.0,s5_b1e_4_sig_10_200ep,checkpoints/s5_b1e_4_sig_10_200ep_20260504_171413,0.09835545346140862,164.75198364257812,0.019946543965488672,3072.0,2994.0,0.11551206931471825,20260504_171413
1e-4,30.0,s5_b1e_4_sig_30_200ep,checkpoints/s5_b1e_4_sig_30_200ep_20260504_171413,0.11984647996723652,141.80304336547852,0.01987850246950984,3072.0,2831.0,0.1360778547823429,20260504_171413
1e-4,100.0,s5_b1e_4_sig_100_200ep,checkpoints/s5_b1e_4_sig_100_200ep_20260504_171413,0.1656794473528862,125.49244117736816,0.01990974321961403,3072.0,2385.0,0.18508482351899147,20260504_171413
1e-4,300.0,s5_b1e_4_sig_300_200ep,checkpoints/s5_b1e_4_sig_300_200ep_20260504_171413,0.20959362387657166,100.4277515411377,0.019650280941277742,3072.0,1036.0,0.2398470900952816,20260504_171413
1e-4,1000.0,s5_b1e_4_sig_1000_200ep,checkpoints/s5_b1e_4_sig_1000_200ep_20260504_171413,0.25147856771945953,96.82361030578613,0.019994337111711502,3065.0,398.0,0.32890497893095016,20260504_171413
3e-4,0.0,s5_b3e_4_sig_0_200ep,checkpoints/s5_b3e_4_sig_0_200ep_20260504_173157,0.11076659895479679,94.09092330932617,0.020078930538147688,2978.0,67.0,0.13899387419223785,20260504_173157
3e-4,1.0,s5_b3e_4_sig_1_200ep,checkpoints/s5_b3e_4_sig_1_200ep_20260504_173157,0.11009715124964714,92.94315147399902,0.020349230617284775,3070.0,109.0,0.1380475051701069,20260504_173157
3e-4,3.0,s5_b3e_4_sig_3_200ep,checkpoints/s5_b3e_4_sig_3_200ep_20260504_173157,0.10880706831812859,95.33637809753418,0.019969534128904343,3059.0,81.0,0.13761206716299057,20260504_173157
3e-4,10.0,s5_b3e_4_sig_10_200ep,checkpoints/s5_b3e_4_sig_10_200ep_20260504_173157,0.11189606785774231,93.0378646850586,0.01995132304728031,3070.0,107.0,0.14049182087183,20260504_173157
3e-4,30.0,s5_b3e_4_sig_30_200ep,checkpoints/s5_b3e_4_sig_30_200ep_20260504_173157,0.12171822041273117,86.74246597290039,0.019748175982385874,261.0,51.0,0.14978072047233582,20260504_173157
3e-4,100.0,s5_b3e_4_sig_100_200ep,checkpoints/s5_b3e_4_sig_100_200ep_20260504_173157,0.1581077091395855,64.56893348693848,0.01992525765672326,32.0,28.0,0.18432093039155006,20260504_173157
3e-4,300.0,s5_b3e_4_sig_300_200ep,checkpoints/s5_b3e_4_sig_300_200ep_20260504_173157,0.21531827002763748,52.67711067199707,0.019995523616671562,24.0,21.0,0.25152208656072617,20260504_173157
3e-4,1000.0,s5_b3e_4_sig_1000_200ep,checkpoints/s5_b3e_4_sig_1000_200ep_20260504_173157,0.2766943424940109,45.8245153427124,0.02003754861652851,24.0,19.0,0.35805318504571915,20260504_173157
