run_name,group,started,linear_decoder,beta_kl,lambda_sigreg,warmup_epochs,num_layers,latent_dim,epochs_done,val_rec_loss,val_active_kl0.01,val_dead_frac_0.1,val_dead_frac_0.5,val_dead_frac_1.0,val_sigreg_loss,eot_active_0.1,eot_active_0.5,eot_kl_mean,val_z_off_diag_cov,val_latent_var_err
s1_grid_b0_l0,s1_grid,2026-05-18,False,0,0,50,4,6144,200,0.016381,6144,0,0.233236,0.992350,0.039068,6144,6144,4.508102,0.000687,0.991895
s1_grid_b0_l1,s1_grid,2026-05-18,False,0,1,50,4,6144,200,0.042111,6144,0,0,0.000814,0.000788,6144,6144,4.941789,0.019041,1.634427
s1_grid_b0_l10,s1_grid,2026-05-18,False,0,10,50,4,6144,200,0.081857,6144,0,0.005859,0.166667,0.000396,6144,6141,4.214246,0.013033,1.683744
s1_grid_b0_l100,s1_grid,2026-05-18,False,0,100,50,4,6144,200,0.187936,6144,0,0.702799,0.816732,0.000355,2970,1373,0.701104,0.032790,0.479780
s1_grid_b0_l1000,s1_grid,2026-05-19,False,0,1000,50,4,6144,200,0.265384,5683.428571,0.000488,0.932943,0.968424,0.000355,392,233,0.103624,0.034313,0.173189
s1_grid_b0_l10000,s1_grid,2026-05-19,False,0,10000,50,4,6144,200,0.584666,0,1,1,1,0.000354,0,0,0.000118,0.034639,0.064048
s1_grid_b1e-1_l0,s1_grid,2026-05-18,False,1e-1,0,50,4,6144,200,0.584666,0,1,1,1,0.000369,0,0,0.000000,0.035187,0.060994
s1_grid_b1e-1_l1,s1_grid,2026-05-18,False,1e-1,1,50,4,6144,200,0.584668,0,1,1,1,0.000364,0,0,0.000000,0.034987,0.060898
s1_grid_b1e-1_l10,s1_grid,2026-05-18,False,1e-1,10,50,4,6144,200,0.584668,0,1,1,1,0.000365,0,0,0.000000,0.034376,0.061152
s1_grid_b1e-1_l100,s1_grid,2026-05-18,False,1e-1,100,50,4,6144,200,0.584663,0,1,1,1,0.000363,0,0,0.000000,0.035382,0.060796
s1_grid_b1e-2_l0,s1_grid,2026-05-18,False,1e-2,0,50,4,6144,200,0.347197,0,0,1,1,0.000351,0,0,0.001616,0.035636,0.060901
s1_grid_b1e-2_l1,s1_grid,2026-05-18,False,1e-2,1,50,4,6144,200,0.347263,0,0.000163,1,1,0.000362,0,0,0.001611,0.034522,0.061188
s1_grid_b1e-2_l10,s1_grid,2026-05-18,False,1e-2,10,50,4,6144,200,0.344565,0,0.000326,1,1,0.000372,0,0,0.001610,0.035284,0.061128
s1_grid_b1e-2_l100,s1_grid,2026-05-18,False,1e-2,100,50,4,6144,200,0.343405,0,0.000163,1,1,0.000366,0,0,0.001639,0.036811,0.060921
s1_grid_b1e-3_l0,s1_grid,2026-05-18,False,1e-3,0,50,4,6144,200,0.180212,2621.714286,0,0.536621,1,0.000351,0,0,0.009936,0.034716,0.060933
s1_grid_b1e-3_l1,s1_grid,2026-05-18,False,1e-3,1,50,4,6144,200,0.179249,2647.857143,0,0.523438,1,0.000364,0,0,0.009958,0.034801,0.060805
s1_grid_b1e-3_l100,s1_grid,2026-05-18,False,1e-3,100,50,4,6144,200,0.195018,2131.142857,0,0.673177,0.999349,0.000353,1,0,0.009442,0.035430,0.060940
s1_grid_b1e-4_l1,s1_grid,2026-05-19,False,1e-4,1,50,4,6144,200,0.102787,4578.428571,0,0.109049,0.917643,0.000358,129,58,0.034295,0.034275,0.069990
s1_grid_b1e-4_l100,s1_grid,2026-05-19,False,1e-4,100,50,4,6144,200,0.184925,58.714286,0.850098,0.990560,0.991699,0.000368,51,49,0.018861,0.036139,0.065488
s1_lowb_b1e-4_l0,s1_lowb,2026-05-18,False,1e-4,0,50,4,6144,200,0.101852,3841.285714,0,0.182780,0.934733,0.000368,114,64,0.033624,0.035022,0.069899
s1_lowb_b1e-4_l10,s1_lowb,2026-05-18,False,1e-4,10,50,4,6144,200,0.108182,2298.428571,0,0.438802,0.956706,0.000354,122,67,0.031342,0.034586,0.070892
s1_lowb_b1e-4_l30,s1_lowb,2026-05-18,False,1e-4,30,50,4,6144,200,0.129290,135.285714,0.000814,0.974935,0.984701,0.000360,80,64,0.024139,0.034571,0.067738
s1_lowb_b2e-4_l0,s1_lowb,2026-05-18,False,2e-4,0,50,4,6144,200,0.123625,5899.571429,0,0.024414,0.910156,0.000363,62,15,0.025903,0.035731,0.063202
s1_lowb_b2e-4_l10,s1_lowb,2026-05-18,False,2e-4,10,50,4,6144,200,0.125099,5319.571429,0,0.080729,0.936523,0.000356,76,28,0.025722,0.035097,0.065344
s1_lowb_b2e-4_l30,s1_lowb,2026-05-18,False,2e-4,30,50,4,6144,200,0.136507,1768.857143,0,0.622396,0.972493,0.000371,77,37,0.021994,0.035763,0.067075
s1_tierA_b1e-3_l10_w50,s1_tierA,2026-05-18,False,1e-3,10,50,4,6144,200,0.177441,2652.857143,0,0.518555,1,0.000357,0,0,0.009969,0.036092,0.060554
s1_tierA_b3e-4_l10_w50,s1_tierA,2026-05-18,False,3e-4,10,50,4,6144,200,0.137680,5816,0,0.038900,0.943522,0.000359,31,3,0.021135,0.034315,0.061787
s1_tierA_b5e-4_l10_w50,s1_tierA,2026-05-18,False,5e-4,10,50,4,6144,200,0.153831,5478.428571,0,0.096191,0.989095,0.000349,2,0,0.015721,0.035631,0.060895
s1_tierA_b7e-4_l10_w50,s1_tierA,2026-05-18,False,7e-4,10,50,4,6144,200,0.166032,4398.428571,0,0.261393,0.998372,0.000358,0,0,0.012580,0.035818,0.061203
s1_tierB_b5e-4_l0_w50,s1_tierB,2026-05-18,False,5e-4,0,50,4,6144,200,0.153615,5514.285714,0,0.091471,0.990885,0.000349,0,0,0.015725,0.034992,0.061326
s1_tierB_b5e-4_l30_w50,s1_tierB,2026-05-18,False,5e-4,30,50,4,6144,200,0.162063,5023,0,0.177246,0.984375,0.000358,7,0,0.015444,0.034564,0.061097
s1_tierC_b5e-4_l10_w100,s1_tierC,2026-05-18,False,5e-4,10,100,4,6144,200,0.145478,4257.285714,0,0.235677,0.985189,0.000366,15,5,0.015193,0.034953,0.061398
