run_name,group,started,linear_decoder,beta_kl,lambda_sigreg,warmup_epochs,num_layers,latent_dim,epochs_done,val_rec_loss,val_active_kl0.01,val_dead_frac_0.1,val_dead_frac_0.5,val_dead_frac_1.0,val_sigreg_loss,eot_active_0.1,eot_active_0.5,eot_kl_mean,val_z_off_diag_cov,val_latent_var_err
s1_grid_b0_l0_lindec,s1_grid,,True,0,0,50,4,6144,,,,,,,,,,,,
s1_grid_b0_l1_lindec,s1_grid,,True,0,1,50,4,6144,,,,,,,,,,,,
s1_grid_b0_l10_lindec,s1_grid,,True,0,10,50,4,6144,,,,,,,,,,,,
s1_grid_b0_l100_lindec,s1_grid,,True,0,100,50,4,6144,,,,,,,,,,,,
s1_grid_b0_l1000_lindec,s1_grid,,True,0,1000,50,4,6144,,,,,,,,,,,,
s1_grid_b0_l10000_lindec,s1_grid,,True,0,10000,50,4,6144,,,,,,,,,,,,
s1_grid_b1e-1_l0_lindec,s1_grid,,True,1e-1,0,50,4,6144,,,,,,,,,,,,
s1_grid_b1e-1_l1_lindec,s1_grid,,True,1e-1,1,50,4,6144,,,,,,,,,,,,
s1_grid_b1e-1_l10_lindec,s1_grid,,True,1e-1,10,50,4,6144,,,,,,,,,,,,
s1_grid_b1e-1_l100_lindec,s1_grid,,True,1e-1,100,50,4,6144,,,,,,,,,,,,
s1_grid_b1e-2_l0_lindec,s1_grid,,True,1e-2,0,50,4,6144,,,,,,,,,,,,
s1_grid_b1e-2_l1_lindec,s1_grid,,True,1e-2,1,50,4,6144,,,,,,,,,,,,
s1_grid_b1e-2_l10_lindec,s1_grid,,True,1e-2,10,50,4,6144,,,,,,,,,,,,
s1_grid_b1e-2_l100_lindec,s1_grid,,True,1e-2,100,50,4,6144,,,,,,,,,,,,
s1_grid_b1e-3_l0_lindec,s1_grid,,True,1e-3,0,50,4,6144,,,,,,,,,,,,
s1_grid_b1e-3_l1_lindec,s1_grid,,True,1e-3,1,50,4,6144,,,,,,,,,,,,
s1_grid_b1e-3_l100_lindec,s1_grid,,True,1e-3,100,50,4,6144,,,,,,,,,,,,
s1_grid_b1e-4_l1_lindec,s1_grid,,True,1e-4,1,50,4,6144,,,,,,,,,,,,
s1_grid_b1e-4_l100_lindec,s1_grid,,True,1e-4,100,50,4,6144,,,,,,,,,,,,
s1_lowb_b1e-4_l0_lindec,s1_lowb,,True,1e-4,0,50,4,6144,,,,,,,,,,,,
s1_lowb_b1e-4_l10_lindec,s1_lowb,,True,1e-4,10,50,4,6144,,,,,,,,,,,,
s1_lowb_b1e-4_l30_lindec,s1_lowb,,True,1e-4,30,50,4,6144,,,,,,,,,,,,
s1_lowb_b2e-4_l0_lindec,s1_lowb,,True,2e-4,0,50,4,6144,,,,,,,,,,,,
s1_lowb_b2e-4_l10_lindec,s1_lowb,,True,2e-4,10,50,4,6144,,,,,,,,,,,,
s1_lowb_b2e-4_l30_lindec,s1_lowb,,True,2e-4,30,50,4,6144,,,,,,,,,,,,
s1_tierA_b1e-3_l10_w50_lindec,s1_tierA,,True,1e-3,10,50,4,6144,,,,,,,,,,,,
s1_tierA_b3e-4_l10_w50_lindec,s1_tierA,,True,3e-4,10,50,4,6144,,,,,,,,,,,,
s1_tierA_b5e-4_l10_w50_lindec,s1_tierA,,True,5e-4,10,50,4,6144,,,,,,,,,,,,
s1_tierA_b7e-4_l10_w50_lindec,s1_tierA,,True,7e-4,10,50,4,6144,,,,,,,,,,,,
s1_tierB_b5e-4_l0_w50_lindec,s1_tierB,,True,5e-4,0,50,4,6144,,,,,,,,,,,,
s1_tierB_b5e-4_l30_w50_lindec,s1_tierB,,True,5e-4,30,50,4,6144,,,,,,,,,,,,
s1_tierC_b5e-4_l10_w100_lindec,s1_tierC,,True,5e-4,10,100,4,6144,,,,,,,,,,,,
