side,rank,dataset_idx,image_path,mu,sigma,kl
negative_mu,1,8193,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/09122.png,-1.203125,0.9941273927688599,0.7237894535064697
negative_mu,2,42803,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/47526.png,-1.140625,0.9879274964332581,0.6506590843200684
negative_mu,3,37739,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/41923.png,-1.125,0.9923390746116638,0.6328713893890381
negative_mu,4,62954,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/69943.png,-1.125,0.9918546676635742,0.6328790187835693
negative_mu,5,10454,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/11643.png,-1.1015625,0.9822157025337219,0.607038140296936
negative_mu,6,20137,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/22396.png,-1.09375,0.9929449558258057,0.5981943607330322
negative_mu,7,13803,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/15379.png,-1.078125,0.9926419258117676,0.5812309980392456
negative_mu,8,44941,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/49892.png,-1.0625,0.985939621925354,0.5646517276763916
negative_mu,9,24075,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/26759.png,-1.0625,0.9891341924667358,0.5645716190338135
negative_mu,10,28048,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/31162.png,-1.0390625,0.9911284446716309,0.5399043560028076
positive_mu,1,50911,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/56528.png,0.98046875,1.0116641521453857,0.4807950258255005
positive_mu,2,38346,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/42595.png,0.96875,1.0158717632293701,0.46948885917663574
positive_mu,3,15320,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/17071.png,0.96484375,1.006152868270874,0.46549952030181885
positive_mu,4,16072,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/17893.png,0.94921875,1.0071052312850952,0.45055848360061646
positive_mu,5,40287,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/44739.png,0.9453125,1.0054469108581543,0.44683748483657837
positive_mu,6,45905,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/50964.png,0.9453125,1.0118494033813477,0.44694769382476807
positive_mu,7,30763,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/34200.png,0.9453125,1.0027503967285156,0.4468154311180115
positive_mu,8,21804,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/24246.png,0.93359375,1.0119730234146118,0.4359414577484131
positive_mu,9,61267,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/68097.png,0.9296875,1.007043719291687,0.4322088956832886
positive_mu,10,23053,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/25628.png,0.921875,1.0128380060195923,0.42509084939956665
