mu_sorted_order,dataset_idx,image_path,mu,sigma,kl
1,55922,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/62127.png,-1.078125,1.0214674472808838,0.5816342830657959
2,36555,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/40596.png,1.0546875,0.9914309978485107,0.5562565326690674
3,59303,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/65906.png,1.0625,0.9900401830673218,0.5645526647567749
4,35434,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/39347.png,1.078125,0.9956151247024536,0.5811960697174072
5,8298,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/09235.png,1.0859375,0.9899193048477173,0.5897320508956909
6,42527,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/47226.png,1.1015625,0.9925813674926758,0.606775164604187
7,56359,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/62634.png,1.1171875,0.9916730523109436,0.6241234540939331
8,56583,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/62886.png,1.140625,0.9941577315330505,0.6505469083786011
9,45176,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/50152.png,1.1484375,0.9818560481071472,0.6597855091094971
10,61222,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/68047.png,1.1796875,0.9837756156921387,0.6960959434509277
