n_pruned,n_kept,keep_frac,rec_prior,rec_zero,prior_zero_gap
0.000000000000000000e+00,6.144000000000000000e+03,1.000000000000000000e+00,1.719050886366102482e-01,1.719050886366102482e-01,0.000000000000000000e+00
1.000000000000000000e+00,6.143000000000000000e+03,9.998372395833333703e-01,1.719096662733289871e-01,1.719078657362196061e-01,1.800537109380995204e-06
2.000000000000000000e+00,6.142000000000000000e+03,9.996744791666666297e-01,1.719120161268446190e-01,1.719105631510416676e-01,1.452975802951339546e-06
4.000000000000000000e+00,6.140000000000000000e+03,9.993489583333333703e-01,1.719251183403862904e-01,1.719173126220703007e-01,7.805718315989640388e-06
7.000000000000000000e+00,6.137000000000000000e+03,9.988606770833333703e-01,1.719384528266059142e-01,1.719275495741102444e-01,1.090325249566981292e-05
1.500000000000000000e+01,6.129000000000000000e+03,9.975585937500000000e-01,1.719815402560763984e-01,1.719540812174479294e-01,2.745903862846899024e-05
2.900000000000000000e+01,6.115000000000000000e+03,9.952799479166666297e-01,1.720584106445312567e-01,1.720058390299479267e-01,5.257161458332992865e-05
5.600000000000000000e+01,6.088000000000000000e+03,9.908854166666666297e-01,1.722260928683810866e-01,1.721107143825954811e-01,1.153784857856055002e-04
1.100000000000000000e+02,6.034000000000000000e+03,9.820963541666666297e-01,1.725682491726345524e-01,1.723434922960069560e-01,2.247568766275964691e-04
2.140000000000000000e+02,5.930000000000000000e+03,9.651692708333333703e-01,1.733252868652343792e-01,1.728189663357204975e-01,5.063205295138817341e-04
4.190000000000000000e+02,5.725000000000000000e+03,9.318033854166666297e-01,1.748520134819878391e-01,1.738300289577907887e-01,1.021984524197050437e-03
4.730000000000000000e+02,5.671000000000000000e+03,9.230143229166666297e-01,1.753376193576388908e-01,1.741110483805338449e-01,1.226570977105045923e-03
8.210000000000000000e+02,5.323000000000000000e+03,8.663736979166666297e-01,1.782717624240451326e-01,1.760417344835069342e-01,2.230027940538198417e-03
9.450000000000000000e+02,5.199000000000000000e+03,8.461914062500000000e-01,1.792740139431423518e-01,1.767810974121093726e-01,2.492916531032979277e-03
1.418000000000000000e+03,4.726000000000000000e+03,7.692057291666666297e-01,1.837935282389323022e-01,1.797976192898220471e-01,3.995908949110255071e-03
1.605000000000000000e+03,4.539000000000000000e+03,7.387695312500000000e-01,1.856685621473524173e-01,1.810877855088975641e-01,4.580776638454853167e-03
1.890000000000000000e+03,4.254000000000000000e+03,6.923828125000000000e-01,1.887970886230468659e-01,1.831492004394531248e-01,5.647888183593741118e-03
2.363000000000000000e+03,3.781000000000000000e+03,6.153971354166666297e-01,1.939875115288628438e-01,1.868612026638454826e-01,7.126308865017361160e-03
2.835000000000000000e+03,3.309000000000000000e+03,5.385742187500000000e-01,1.996740044487847199e-01,1.909429999457465388e-01,8.731004503038181097e-03
3.140000000000000000e+03,3.004000000000000000e+03,4.889322916666666852e-01,2.038167385525173625e-01,1.937909037272135537e-01,1.002583482530380876e-02
3.308000000000000000e+03,2.836000000000000000e+03,4.615885416666666852e-01,2.060893419053819453e-01,1.954437425401475692e-01,1.064559936523437611e-02
3.780000000000000000e+03,2.364000000000000000e+03,3.847656250000000000e-01,2.131700134277343672e-01,2.003917202419704946e-01,1.277829318576387263e-02
4.253000000000000000e+03,1.891000000000000000e+03,3.077799479166666852e-01,2.202559712727864549e-01,2.058899909125433969e-01,1.436598036024305802e-02
4.725000000000000000e+03,1.419000000000000000e+03,2.309570312500000000e-01,2.284324340820312604e-01,2.120450744628906148e-01,1.638735961914064565e-02
5.198000000000000000e+03,9.460000000000000000e+02,1.539713541666666574e-01,2.379220174153645895e-01,2.190649074978298638e-01,1.885710991753472565e-02
5.670000000000000000e+03,4.740000000000000000e+02,7.714843750000000000e-02,2.487477722167968641e-01,2.273219231499565840e-01,2.142584906684028012e-02
6.143000000000000000e+03,1.000000000000000000e+00,1.627604166666666576e-04,9.303623725043402848e-01,5.840069986979166128e-01,3.463553738064236720e-01
