n_pruned,n_kept,keep_frac,rec_prior,rec_zero,prior_zero_gap
0.000000000000000000e+00,6.144000000000000000e+03,1.000000000000000000e+00,1.719050886366102482e-01,1.719050886366102482e-01,0.000000000000000000e+00
1.000000000000000000e+00,6.143000000000000000e+03,9.998372395833333703e-01,1.719096662733289871e-01,1.719078657362196061e-01,1.800537109380995204e-06
2.000000000000000000e+00,6.142000000000000000e+03,9.996744791666666297e-01,1.719120161268446190e-01,1.719105631510416676e-01,1.452975802951339546e-06
4.000000000000000000e+00,6.140000000000000000e+03,9.993489583333333703e-01,1.719268408881293453e-01,1.719171379937065869e-01,9.702894422758401305e-06
7.000000000000000000e+00,6.137000000000000000e+03,9.988606770833333703e-01,1.719402211507161382e-01,1.719274071587456598e-01,1.281399197047838889e-05
1.500000000000000000e+01,6.129000000000000000e+03,9.975585937500000000e-01,1.719810638427734240e-01,1.719542744954427049e-01,2.678934733071902663e-05
2.900000000000000000e+01,6.115000000000000000e+03,9.952799479166666297e-01,1.720583241780598849e-01,1.720052761501736083e-01,5.304802788627660526e-05
5.600000000000000000e+01,6.088000000000000000e+03,9.908854166666666297e-01,1.722309502495659728e-01,1.721100209554036475e-01,1.209292941623252293e-04
1.100000000000000000e+02,6.034000000000000000e+03,9.820963541666666297e-01,1.725577748616536344e-01,1.723399624294704724e-01,2.178124321831620414e-04
2.140000000000000000e+02,5.930000000000000000e+03,9.651692708333333703e-01,1.733161739773220467e-01,1.728159400092230957e-01,5.002339680989509318e-04
4.190000000000000000e+02,5.725000000000000000e+03,9.318033854166666297e-01,1.748586968315972157e-01,1.738246782090928921e-01,1.034018622504323526e-03
4.730000000000000000e+02,5.671000000000000000e+03,9.230143229166666297e-01,1.753457658555772625e-01,1.741034562852647460e-01,1.242309570312516431e-03
8.210000000000000000e+02,5.323000000000000000e+03,8.663736979166666297e-01,1.782611287434895941e-01,1.760304701063367949e-01,2.230658637152799217e-03
9.450000000000000000e+02,5.199000000000000000e+03,8.461914062500000000e-01,1.792776387532551974e-01,1.767649976942274326e-01,2.512641059027764801e-03
1.418000000000000000e+03,4.726000000000000000e+03,7.692057291666666297e-01,1.837780965169270864e-01,1.797813551161024370e-01,3.996741400824649348e-03
1.605000000000000000e+03,4.539000000000000000e+03,7.387695312500000000e-01,1.856519894070095544e-01,1.810682373046874905e-01,4.583752102322063982e-03
1.890000000000000000e+03,4.254000000000000000e+03,6.923828125000000000e-01,1.888081444634331640e-01,1.831257493760850563e-01,5.682395087348107721e-03
2.363000000000000000e+03,3.781000000000000000e+03,6.153971354166666297e-01,1.939641418457031252e-01,1.868311428493923676e-01,7.132998996310757622e-03
2.835000000000000000e+03,3.309000000000000000e+03,5.385742187500000000e-01,1.996366102430555678e-01,1.909104546440972272e-01,8.726155598958340587e-03
3.140000000000000000e+03,3.004000000000000000e+03,4.889322916666666852e-01,2.038083326551649310e-01,1.937595825195312371e-01,1.004875013563369390e-02
3.308000000000000000e+03,2.836000000000000000e+03,4.615885416666666852e-01,2.060333862304687402e-01,1.954051140679253507e-01,1.062827216254338958e-02
3.780000000000000000e+03,2.364000000000000000e+03,3.847656250000000000e-01,2.131215209960937440e-01,2.003706190321180580e-01,1.275090196397568598e-02
4.253000000000000000e+03,1.891000000000000000e+03,3.077799479166666852e-01,2.202304653591579953e-01,2.058660040961371451e-01,1.436446126302085013e-02
4.725000000000000000e+03,1.419000000000000000e+03,2.309570312500000000e-01,2.284007907443576513e-01,2.120112033420138986e-01,1.638958740234375266e-02
5.198000000000000000e+03,9.460000000000000000e+02,1.539713541666666574e-01,2.378828226725260286e-01,2.190431450737847230e-01,1.883967759874130565e-02
5.670000000000000000e+03,4.740000000000000000e+02,7.714843750000000000e-02,2.487421502007378382e-01,2.273016221788194402e-01,2.144052802191839802e-02
6.143000000000000000e+03,1.000000000000000000e+00,1.627604166666666576e-04,9.303623725043402848e-01,5.840069986979166128e-01,3.463553738064236720e-01
