n_pruned,n_kept,keep_frac,rec_prior,rec_zero,prior_zero_gap
0.000000000000000000e+00,6.144000000000000000e+03,1.000000000000000000e+00,9.351986796061198537e-02,9.351986796061198537e-02,0.000000000000000000e+00
1.000000000000000000e+00,6.143000000000000000e+03,9.998372395833333703e-01,9.352113952636718908e-02,9.351995849609374967e-02,1.181030273439409584e-06
2.000000000000000000e+00,6.142000000000000000e+03,9.996744791666666297e-01,9.352054850260416163e-02,9.352093505859375433e-02,-3.865559895926962142e-07
3.000000000000000000e+00,6.141000000000000000e+03,9.995117187500000000e-01,9.352070821126301503e-02,9.352019551595051883e-02,5.126953124962030373e-07
4.000000000000000000e+00,6.140000000000000000e+03,9.993489583333333703e-01,9.352311147054036267e-02,9.352021891276041110e-02,2.892557779951565600e-06
6.000000000000000000e+00,6.138000000000000000e+03,9.990234375000000000e-01,9.352082824707030895e-02,9.351993560791015125e-02,8.926391601576932899e-07
9.000000000000000000e+00,6.135000000000000000e+03,9.985351562500000000e-01,9.352164611816406181e-02,9.351994832356770593e-02,1.697794596355883812e-06
1.300000000000000000e+01,6.131000000000000000e+03,9.978841145833333703e-01,9.352417500813801909e-02,9.352074737548828065e-02,3.427632649738443504e-06
1.800000000000000000e+01,6.126000000000000000e+03,9.970703125000000000e-01,9.352540384928385853e-02,9.352015279134114067e-02,5.251057942717851645e-06
2.600000000000000000e+01,6.118000000000000000e+03,9.957682291666666297e-01,9.352651367187500564e-02,9.352097015380859968e-02,5.543518066405961342e-06
3.800000000000000000e+01,6.106000000000000000e+03,9.938151041666666297e-01,9.352807159423828787e-02,9.351927693684895793e-02,8.794657389329940678e-06
5.400000000000000000e+01,6.090000000000000000e+03,9.912109375000000000e-01,9.353767496744791465e-02,9.352050628662109122e-02,1.716868082682343477e-05
7.800000000000000000e+01,6.066000000000000000e+03,9.873046875000000000e-01,9.354386240641275607e-02,9.352103169759114210e-02,2.283070882161397641e-05
1.130000000000000000e+02,6.031000000000000000e+03,9.816080729166666297e-01,9.355180511474608940e-02,9.352151133219401002e-02,3.029378255207937354e-05
1.620000000000000000e+02,5.982000000000000000e+03,9.736328125000000000e-01,9.356526387532551614e-02,9.352073364257812438e-02,4.453023274739176252e-05
