n_pruned,n_kept,keep_frac,rec_prior,rec_zero,prior_zero_gap
0.000000000000000000e+00,6.144000000000000000e+03,1.000000000000000000e+00,9.351986796061198537e-02,9.351986796061198537e-02,0.000000000000000000e+00
1.000000000000000000e+00,6.143000000000000000e+03,9.998372395833333703e-01,9.352113952636718908e-02,9.351995849609374967e-02,1.181030273439409584e-06
2.000000000000000000e+00,6.142000000000000000e+03,9.996744791666666297e-01,9.352084859212239643e-02,9.352100168863931862e-02,-1.530965169221909505e-07
3.000000000000000000e+00,6.141000000000000000e+03,9.995117187500000000e-01,9.351909637451172319e-02,9.352021382649738923e-02,-1.117451985666040315e-06
4.000000000000000000e+00,6.140000000000000000e+03,9.993489583333333703e-01,9.352098592122395915e-02,9.352019704182942816e-02,7.888793945309835465e-07
6.000000000000000000e+00,6.138000000000000000e+03,9.990234375000000000e-01,9.352062683105469287e-02,9.352022145589192204e-02,4.053751627708379601e-07
9.000000000000000000e+00,6.135000000000000000e+03,9.985351562500000000e-01,9.352470601399739958e-02,9.351994018554687926e-02,4.765828450520315229e-06
1.300000000000000000e+01,6.131000000000000000e+03,9.978841145833333703e-01,9.352520192464192084e-02,9.351931254069011101e-02,5.889383951809823436e-06
1.800000000000000000e+01,6.126000000000000000e+03,9.970703125000000000e-01,9.352448527018229762e-02,9.351901448567707942e-02,5.470784505218206917e-06
2.600000000000000000e+01,6.118000000000000000e+03,9.957682291666666297e-01,9.352738037109374625e-02,9.351923777262369231e-02,8.142598470053941107e-06
3.800000000000000000e+01,6.106000000000000000e+03,9.938151041666666297e-01,9.352872161865234679e-02,9.352017313639322815e-02,8.548482259118639348e-06
5.400000000000000000e+01,6.090000000000000000e+03,9.912109375000000000e-01,9.353845011393228936e-02,9.352133280436197849e-02,1.711730957031087907e-05
7.800000000000000000e+01,6.066000000000000000e+03,9.873046875000000000e-01,9.354450988769531794e-02,9.352118937174479230e-02,2.332051595052564430e-05
1.130000000000000000e+02,6.031000000000000000e+03,9.816080729166666297e-01,9.355228474934895733e-02,9.352054036458333497e-02,3.174438476562235767e-05
1.620000000000000000e+02,5.982000000000000000e+03,9.736328125000000000e-01,9.356804300944010500e-02,9.352083384195963855e-02,4.720916748046644074e-05
