n_pruned,n_kept,keep_frac,rec_prior,rec_zero,prior_zero_gap
0.000000000000000000e+00,6.144000000000000000e+03,1.000000000000000000e+00,1.077182942708333341e-01,1.077182942708333341e-01,0.000000000000000000e+00
1.000000000000000000e+00,6.143000000000000000e+03,9.998372395833333703e-01,1.077188583374023428e-01,1.077181315104166620e-01,7.268269856808284857e-07
2.000000000000000000e+00,6.142000000000000000e+03,9.996744791666666297e-01,1.077179356892903617e-01,1.077189946492513040e-01,-1.058959960942296163e-06
3.000000000000000000e+00,6.141000000000000000e+03,9.995117187500000000e-01,1.077190338134765557e-01,1.077172322591145870e-01,1.801554361968715767e-06
4.000000000000000000e+00,6.140000000000000000e+03,9.993489583333333703e-01,1.077188832600911444e-01,1.077186589558919300e-01,2.243041992144867436e-07
5.000000000000000000e+00,6.139000000000000000e+03,9.991861979166666297e-01,1.077200805664062511e-01,1.077190887451171808e-01,9.918212890702715612e-07
6.000000000000000000e+00,6.138000000000000000e+03,9.990234375000000000e-01,1.077208709716796914e-01,1.077180699666341196e-01,2.801005045571791641e-06
7.000000000000000000e+00,6.137000000000000000e+03,9.988606770833333703e-01,1.077188273111979178e-01,1.077185114542643235e-01,3.158569335942607026e-07
8.000000000000000000e+00,6.136000000000000000e+03,9.986979166666666297e-01,1.077212422688802046e-01,1.077182622273763074e-01,2.980041503897190580e-06
9.000000000000000000e+00,6.135000000000000000e+03,9.985351562500000000e-01,1.077223607381184861e-01,1.077189158121744789e-01,3.444925944007248830e-06
1.100000000000000000e+01,6.133000000000000000e+03,9.982096354166666297e-01,1.077227310180664116e-01,1.077187418619791615e-01,3.989156087250145255e-06
1.200000000000000000e+01,6.132000000000000000e+03,9.980468750000000000e-01,1.077238250732421854e-01,1.077192398071288998e-01,4.585266113285579870e-06
1.400000000000000000e+01,6.130000000000000000e+03,9.977213541666666297e-01,1.077247222900390572e-01,1.077185231526692766e-01,6.199137369780616247e-06
1.700000000000000000e+01,6.127000000000000000e+03,9.972330729166666297e-01,1.077258285522460918e-01,1.077203282674153578e-01,5.500284830733948027e-06
1.900000000000000000e+01,6.125000000000000000e+03,9.969075520833333703e-01,1.077271825154622331e-01,1.077192438761393201e-01,7.938639322913054741e-06
2.200000000000000000e+01,6.122000000000000000e+03,9.964192708333333703e-01,1.077262125651041735e-01,1.077194702148437516e-01,6.742350260421914321e-06
2.600000000000000000e+01,6.118000000000000000e+03,9.957682291666666297e-01,1.077282135009765690e-01,1.077182866414388013e-01,9.926859537767729336e-06
3.000000000000000000e+01,6.114000000000000000e+03,9.951171875000000000e-01,1.077290990193684878e-01,1.077173416137695294e-01,1.175740559895832593e-05
3.500000000000000000e+01,6.109000000000000000e+03,9.943033854166666297e-01,1.077306828816731732e-01,1.077180994669596353e-01,1.258341471353785490e-05
4.000000000000000000e+01,6.104000000000000000e+03,9.934895833333333703e-01,1.077374155680338591e-01,1.077196202596028690e-01,1.779530843099008663e-05
4.700000000000000000e+01,6.097000000000000000e+03,9.923502604166666297e-01,1.077378036499023473e-01,1.077192331949869825e-01,1.857045491536479798e-05
5.400000000000000000e+01,6.090000000000000000e+03,9.912109375000000000e-01,1.077460744222005218e-01,1.077185551961263033e-01,2.751922607421852796e-05
6.300000000000000000e+01,6.081000000000000000e+03,9.897460937500000000e-01,1.077510701497395862e-01,1.077192504882812513e-01,3.181966145833492465e-05
7.300000000000000000e+01,6.071000000000000000e+03,9.881184895833333703e-01,1.077519399007161455e-01,1.077208404541015602e-01,3.109944661458530213e-05
8.400000000000000000e+01,6.060000000000000000e+03,9.863281250000000000e-01,1.077574783325195296e-01,1.077210754394531261e-01,3.640289306640343003e-05
9.800000000000000000e+01,6.046000000000000000e+03,9.840494791666666297e-01,1.077677169799804713e-01,1.077195495605468706e-01,4.816741943360070000e-05
1.040000000000000000e+02,6.040000000000000000e+03,9.830729166666666297e-01,1.077660593668619826e-01,1.077206232706705707e-01,4.543609619141186773e-05
1.130000000000000000e+02,6.031000000000000000e+03,9.816080729166666297e-01,1.077708389282226592e-01,1.077218317667643227e-01,4.900716145833650117e-05
