n_pruned,n_kept,keep_frac,rec_prior,rec_zero,prior_zero_gap
0.000000000000000000e+00,6.144000000000000000e+03,1.000000000000000000e+00,1.077182942708333341e-01,1.077182942708333341e-01,0.000000000000000000e+00
1.000000000000000000e+00,6.143000000000000000e+03,9.998372395833333703e-01,1.077188583374023428e-01,1.077181315104166620e-01,7.268269856808284857e-07
2.000000000000000000e+00,6.142000000000000000e+03,9.996744791666666297e-01,1.077177907307942661e-01,1.077187123616536457e-01,-9.216308593795741189e-07
3.000000000000000000e+00,6.141000000000000000e+03,9.995117187500000000e-01,1.077192952473958326e-01,1.077188273111979178e-01,4.679361979148533024e-07
4.000000000000000000e+00,6.140000000000000000e+03,9.993489583333333703e-01,1.077166844685872454e-01,1.077181259155273463e-01,-1.441446940100843399e-06
5.000000000000000000e+00,6.139000000000000000e+03,9.991861979166666297e-01,1.077227839152018196e-01,1.077201538085937466e-01,2.630106608073057295e-06
6.000000000000000000e+00,6.138000000000000000e+03,9.990234375000000000e-01,1.077203180948893280e-01,1.077180928548177041e-01,2.225240071623835192e-06
7.000000000000000000e+00,6.137000000000000000e+03,9.988606770833333703e-01,1.077223347981770829e-01,1.077187281290690052e-01,3.606669108077720232e-06
8.000000000000000000e+00,6.136000000000000000e+03,9.986979166666666297e-01,1.077213643391927017e-01,1.077169815063476616e-01,4.382832845040152137e-06
9.000000000000000000e+00,6.135000000000000000e+03,9.985351562500000000e-01,1.077221638997395842e-01,1.077182545979817746e-01,3.909301757809569011e-06
1.100000000000000000e+01,6.133000000000000000e+03,9.982096354166666297e-01,1.077213684082031220e-01,1.077169942220052024e-01,4.374186197919627261e-06
1.200000000000000000e+01,6.132000000000000000e+03,9.980468750000000000e-01,1.077233912150065143e-01,1.077173065185546841e-01,6.084696451830184927e-06
1.400000000000000000e+01,6.130000000000000000e+03,9.977213541666666297e-01,1.077257787068684886e-01,1.077169067382812567e-01,8.871968587231826575e-06
1.700000000000000000e+01,6.127000000000000000e+03,9.972330729166666297e-01,1.077267634073893199e-01,1.077173655192057294e-01,9.397888183590441535e-06
1.900000000000000000e+01,6.125000000000000000e+03,9.969075520833333703e-01,1.077261215209960876e-01,1.077181584676106807e-01,7.963053385406926310e-06
2.200000000000000000e+01,6.122000000000000000e+03,9.964192708333333703e-01,1.077285512288411462e-01,1.077181091308593713e-01,1.044209798177486714e-05
2.600000000000000000e+01,6.118000000000000000e+03,9.957682291666666297e-01,1.077316960652669325e-01,1.077184285481770781e-01,1.326751708985440814e-05
3.000000000000000000e+01,6.114000000000000000e+03,9.951171875000000000e-01,1.077322291056315162e-01,1.077185668945312563e-01,1.366221110025989116e-05
3.500000000000000000e+01,6.109000000000000000e+03,9.943033854166666297e-01,1.077318944295247438e-01,1.077187367757161396e-01,1.315765380860423051e-05
4.000000000000000000e+01,6.104000000000000000e+03,9.934895833333333703e-01,1.077351114908854102e-01,1.077177597045898411e-01,1.735178629556910490e-05
4.700000000000000000e+01,6.097000000000000000e+03,9.923502604166666297e-01,1.077347549438476548e-01,1.077195109049479127e-01,1.524403889974212944e-05
5.400000000000000000e+01,6.090000000000000000e+03,9.912109375000000000e-01,1.077472544352213596e-01,1.077191950480143184e-01,2.805938720704115319e-05
6.300000000000000000e+01,6.081000000000000000e+03,9.897460937500000000e-01,1.077497517903645841e-01,1.077194946289062455e-01,3.025716145833856618e-05
7.300000000000000000e+01,6.071000000000000000e+03,9.881184895833333703e-01,1.077534622192382746e-01,1.077204661051432283e-01,3.299611409504632498e-05
8.400000000000000000e+01,6.060000000000000000e+03,9.863281250000000000e-01,1.077562479654947947e-01,1.077197296142578115e-01,3.651835123698321528e-05
9.800000000000000000e+01,6.046000000000000000e+03,9.840494791666666297e-01,1.077654474894205738e-01,1.077214574178059908e-01,4.399007161458301507e-05
1.040000000000000000e+02,6.040000000000000000e+03,9.830729166666666297e-01,1.077639419555664058e-01,1.077204254150390672e-01,4.351654052733855416e-05
1.130000000000000000e+02,6.031000000000000000e+03,9.816080729166666297e-01,1.077738215128580673e-01,1.077218149820963478e-01,5.200653076171957157e-05
