n_pruned,n_kept,keep_frac,rec_prior,rec_zero,prior_zero_gap
0.000000000000000000e+00,6.144000000000000000e+03,1.000000000000000000e+00,1.172089772542317665e-01,1.172089772542317665e-01,0.000000000000000000e+00
1.000000000000000000e+00,6.143000000000000000e+03,9.998372395833333703e-01,1.172067911783854222e-01,1.172103098551432326e-01,-3.518676757810479394e-06
2.000000000000000000e+00,6.142000000000000000e+03,9.996744791666666297e-01,1.172064921061197890e-01,1.172092549641927106e-01,-2.762858072921647867e-06
3.000000000000000000e+00,6.141000000000000000e+03,9.995117187500000000e-01,1.172035766601562529e-01,1.172097656250000036e-01,-6.188964843750754952e-06
4.000000000000000000e+00,6.140000000000000000e+03,9.993489583333333703e-01,1.172023254394531228e-01,1.172102935791015654e-01,-7.968139648442673639e-06
6.000000000000000000e+00,6.138000000000000000e+03,9.990234375000000000e-01,1.171992919921874959e-01,1.172094533284505219e-01,-1.016133626302595516e-05
9.000000000000000000e+00,6.135000000000000000e+03,9.985351562500000000e-01,1.171948659261067699e-01,1.172112487792968810e-01,-1.638285319011112406e-05
1.300000000000000000e+01,6.131000000000000000e+03,9.978841145833333703e-01,1.171883453369140654e-01,1.172121175130208387e-01,-2.377217610677329063e-05
1.800000000000000000e+01,6.126000000000000000e+03,9.970703125000000000e-01,1.171828765869140643e-01,1.172145528157552130e-01,-3.167622884114873472e-05
2.600000000000000000e+01,6.118000000000000000e+03,9.957682291666666297e-01,1.171693949381510391e-01,1.172233754475911494e-01,-5.398050944011023589e-05
3.800000000000000000e+01,6.106000000000000000e+03,9.938151041666666297e-01,1.171546071370442726e-01,1.172298136393229162e-01,-7.520650227864356108e-05
5.400000000000000000e+01,6.090000000000000000e+03,9.912109375000000000e-01,1.171325459798177038e-01,1.172369252522786481e-01,-1.043792724609443612e-04
7.800000000000000000e+01,6.066000000000000000e+03,9.873046875000000000e-01,1.170942749023437535e-01,1.172540211995442699e-01,-1.597462972005164739e-04
1.130000000000000000e+02,6.031000000000000000e+03,9.816080729166666297e-01,1.170624908447265577e-01,1.172818501790364593e-01,-2.193593343099015103e-04
1.620000000000000000e+02,5.982000000000000000e+03,9.736328125000000000e-01,1.170083394368489627e-01,1.173221435546874941e-01,-3.138041178385314600e-04
2.330000000000000000e+02,5.911000000000000000e+03,9.620768229166666297e-01,1.169498677571614575e-01,1.173858612060546813e-01,-4.359934488932237784e-04
2.560000000000000000e+02,5.888000000000000000e+03,9.583333333333333703e-01,1.169375905354817641e-01,1.174106363932291702e-01,-4.730458577474061510e-04
3.350000000000000000e+02,5.809000000000000000e+03,9.454752604166666297e-01,1.168695770263671885e-01,1.174910807291666692e-01,-6.215037027994807506e-04
4.820000000000000000e+02,5.662000000000000000e+03,9.215494791666666297e-01,1.167940867106119773e-01,1.176602813720703106e-01,-8.661946614583332371e-04
5.120000000000000000e+02,5.632000000000000000e+03,9.166666666666666297e-01,1.167936909993489564e-01,1.176976074218750029e-01,-9.039164225260465368e-04
6.940000000000000000e+02,5.450000000000000000e+03,8.870442708333333703e-01,1.167091969807942664e-01,1.179479624430338491e-01,-1.238765462239582726e-03
7.680000000000000000e+02,5.376000000000000000e+03,8.750000000000000000e-01,1.167135142008463577e-01,1.180653442382812446e-01,-1.351830037434886833e-03
9.980000000000000000e+02,5.146000000000000000e+03,8.375651041666666297e-01,1.168090586344401050e-01,1.184680379231770886e-01,-1.658979288736983637e-03
1.024000000000000000e+03,5.120000000000000000e+03,8.333333333333333703e-01,1.167981750488281262e-01,1.185224558512369825e-01,-1.724280802408856283e-03
1.280000000000000000e+03,4.864000000000000000e+03,7.916666666666666297e-01,1.169603525797526106e-01,1.190787923177083346e-01,-2.118439737955724045e-03
1.435000000000000000e+03,4.709000000000000000e+03,7.664388020833333703e-01,1.171090057373046917e-01,1.194809773763020888e-01,-2.371971638997397158e-03
1.536000000000000000e+03,4.608000000000000000e+03,7.500000000000000000e-01,1.172944529215494830e-01,1.197658315022786524e-01,-2.471378580729169383e-03
1.792000000000000000e+03,4.352000000000000000e+03,7.083333333333333703e-01,1.177422475179036448e-01,1.206080373128255168e-01,-2.865789794921871914e-03
2.048000000000000000e+03,4.096000000000000000e+03,6.666666666666666297e-01,1.184041564941406277e-01,1.215764668782552127e-01,-3.172310384114584991e-03
2.065000000000000000e+03,4.079000000000000000e+03,6.638997395833333703e-01,1.184050089518229182e-01,1.216503540039062525e-01,-3.245345052083334347e-03
2.304000000000000000e+03,3.840000000000000000e+03,6.250000000000000000e-01,1.192464609781901108e-01,1.227120880126953140e-01,-3.465627034505203152e-03
