n_pruned,n_kept,keep_frac,rec_prior,rec_zero,prior_zero_gap
0.000000000000000000e+00,6.144000000000000000e+03,1.000000000000000000e+00,1.172089772542317665e-01,1.172089772542317665e-01,0.000000000000000000e+00
1.000000000000000000e+00,6.143000000000000000e+03,9.998372395833333703e-01,1.172067911783854222e-01,1.172103098551432326e-01,-3.518676757810479394e-06
2.000000000000000000e+00,6.142000000000000000e+03,9.996744791666666297e-01,1.172068766276041646e-01,1.172087107340494816e-01,-1.834106445317007505e-06
3.000000000000000000e+00,6.141000000000000000e+03,9.995117187500000000e-01,1.172026611328124968e-01,1.172073872884114576e-01,-4.726155598960835036e-06
4.000000000000000000e+00,6.140000000000000000e+03,9.993489583333333703e-01,1.172003743489583305e-01,1.172101481119791622e-01,-9.773763020831660597e-06
6.000000000000000000e+00,6.138000000000000000e+03,9.990234375000000000e-01,1.172000691731770877e-01,1.172098561604817679e-01,-9.786987304680194732e-06
9.000000000000000000e+00,6.135000000000000000e+03,9.985351562500000000e-01,1.171952056884765642e-01,1.172121256510416654e-01,-1.691996256510119867e-05
1.300000000000000000e+01,6.131000000000000000e+03,9.978841145833333703e-01,1.171855295817057357e-01,1.172114990234374987e-01,-2.596944173176296555e-05
1.800000000000000000e+01,6.126000000000000000e+03,9.970703125000000000e-01,1.171836751302083313e-01,1.172153706868489520e-01,-3.169555664062073674e-05
2.600000000000000000e+01,6.118000000000000000e+03,9.957682291666666297e-01,1.171662862141927136e-01,1.172171783447265581e-01,-5.089213053384444851e-05
3.800000000000000000e+01,6.106000000000000000e+03,9.938151041666666297e-01,1.171470357259114525e-01,1.172225453694661496e-01,-7.550964355469702571e-05
5.400000000000000000e+01,6.090000000000000000e+03,9.912109375000000000e-01,1.171278391520182288e-01,1.172314514160156251e-01,-1.036122639973963144e-04
7.800000000000000000e+01,6.066000000000000000e+03,9.873046875000000000e-01,1.170866709391275989e-01,1.172449005126953159e-01,-1.582295735677169413e-04
1.130000000000000000e+02,6.031000000000000000e+03,9.816080729166666297e-01,1.170467712402343818e-01,1.172692921956380169e-01,-2.225209554036350346e-04
1.620000000000000000e+02,5.982000000000000000e+03,9.736328125000000000e-01,1.169874735514322972e-01,1.173028452555338608e-01,-3.153717041015635658e-04
2.330000000000000000e+02,5.911000000000000000e+03,9.620768229166666297e-01,1.169148081461588579e-01,1.173624898274739647e-01,-4.476816813151068830e-04
2.560000000000000000e+02,5.888000000000000000e+03,9.583333333333333703e-01,1.168933166503906274e-01,1.173829416910807250e-01,-4.896250406900976015e-04
3.350000000000000000e+02,5.809000000000000000e+03,9.454752604166666297e-01,1.168329040527343737e-01,1.174628031412760371e-01,-6.298990885416633212e-04
4.820000000000000000e+02,5.662000000000000000e+03,9.215494791666666297e-01,1.167499857584635425e-01,1.176239095052083322e-01,-8.739237467447896757e-04
5.120000000000000000e+02,5.632000000000000000e+03,9.166666666666666297e-01,1.167322214762369775e-01,1.176594858805338484e-01,-9.272644042968708478e-04
6.940000000000000000e+02,5.450000000000000000e+03,8.870442708333333703e-01,1.166578887939453135e-01,1.179097676595052130e-01,-1.251878865559899467e-03
7.680000000000000000e+02,5.376000000000000000e+03,8.750000000000000000e-01,1.166750010172526025e-01,1.180204783121744788e-01,-1.345477294921876288e-03
9.980000000000000000e+02,5.146000000000000000e+03,8.375651041666666297e-01,1.167510823567708272e-01,1.184154530843098962e-01,-1.664370727539069006e-03
1.024000000000000000e+03,5.120000000000000000e+03,8.333333333333333703e-01,1.167436309814453149e-01,1.184689371744791636e-01,-1.725306193033848690e-03
1.280000000000000000e+03,4.864000000000000000e+03,7.916666666666666297e-01,1.169022623697916624e-01,1.190272176106770829e-01,-2.124955240885420538e-03
1.435000000000000000e+03,4.709000000000000000e+03,7.664388020833333703e-01,1.170367889404296813e-01,1.194212931315104115e-01,-2.384504191080730195e-03
1.536000000000000000e+03,4.608000000000000000e+03,7.500000000000000000e-01,1.172282002766927150e-01,1.197020121256510417e-01,-2.473811848958326620e-03
1.792000000000000000e+03,4.352000000000000000e+03,7.083333333333333703e-01,1.176740081787109315e-01,1.205157775878906296e-01,-2.841769409179698003e-03
2.048000000000000000e+03,4.096000000000000000e+03,6.666666666666666297e-01,1.183174285888671934e-01,1.214657531738281282e-01,-3.148324584960934813e-03
2.065000000000000000e+03,4.079000000000000000e+03,6.638997395833333703e-01,1.183313700358072929e-01,1.215412719726562535e-01,-3.209901936848960635e-03
2.304000000000000000e+03,3.840000000000000000e+03,6.250000000000000000e-01,1.191274983723958347e-01,1.226097676595052088e-01,-3.482269287109374112e-03
