n_pruned,n_kept,keep_frac,rec_prior,rec_zero,prior_zero_gap
0.000000000000000000e+00,6.144000000000000000e+03,1.000000000000000000e+00,1.028804346720377655e-01,1.028804346720377655e-01,0.000000000000000000e+00
1.000000000000000000e+00,6.143000000000000000e+03,9.998372395833333703e-01,1.028816864013671895e-01,1.028821177164713496e-01,-4.313151041601681612e-07
2.000000000000000000e+00,6.142000000000000000e+03,9.996744791666666297e-01,1.028864685058593770e-01,1.028802800496419340e-01,6.188456217443016882e-06
3.000000000000000000e+00,6.141000000000000000e+03,9.995117187500000000e-01,1.028870488484700529e-01,1.028814448038736923e-01,5.604044596360657771e-06
4.000000000000000000e+00,6.140000000000000000e+03,9.993489583333333703e-01,1.028878672281900997e-01,1.028824935913085908e-01,5.373636881508825347e-06
6.000000000000000000e+00,6.138000000000000000e+03,9.990234375000000000e-01,1.028891357421874986e-01,1.028832814534505202e-01,5.854288736978352503e-06
9.000000000000000000e+00,6.135000000000000000e+03,9.985351562500000000e-01,1.028964502970377559e-01,1.028829757690429697e-01,1.347452799478621177e-05
1.300000000000000000e+01,6.131000000000000000e+03,9.978841145833333703e-01,1.029035888671875065e-01,1.028834223429361955e-01,2.016652425131104653e-05
1.800000000000000000e+01,6.126000000000000000e+03,9.970703125000000000e-01,1.029099324544270888e-01,1.028818745930989570e-01,2.805786132813181677e-05
2.600000000000000000e+01,6.118000000000000000e+03,9.957682291666666297e-01,1.029301951090494799e-01,1.028853780110677019e-01,4.481709798177802018e-05
3.800000000000000000e+01,6.106000000000000000e+03,9.938151041666666297e-01,1.029523381551106787e-01,1.028852071126302031e-01,6.713104248047552236e-05
5.400000000000000000e+01,6.090000000000000000e+03,9.912109375000000000e-01,1.029910115559895811e-01,1.028851236979166639e-01,1.058878580729172292e-04
7.800000000000000000e+01,6.066000000000000000e+03,9.873046875000000000e-01,1.030236745198567644e-01,1.028854339599609424e-01,1.382405598958219572e-04
1.130000000000000000e+02,6.031000000000000000e+03,9.816080729166666297e-01,1.031130020141601544e-01,1.028912048339843816e-01,2.217971801757728789e-04
1.620000000000000000e+02,5.982000000000000000e+03,9.736328125000000000e-01,1.032322214762369794e-01,1.029002563476562465e-01,3.319651285807329044e-04
2.330000000000000000e+02,5.911000000000000000e+03,9.620768229166666297e-01,1.034287048339843779e-01,1.029164703369140621e-01,5.122344970703157641e-04
2.560000000000000000e+02,5.888000000000000000e+03,9.583333333333333703e-01,1.035173049926757793e-01,1.029224192301432250e-01,5.948857625325543186e-04
3.350000000000000000e+02,5.809000000000000000e+03,9.454752604166666297e-01,1.036961476643880192e-01,1.029268249511718775e-01,7.693227132161417625e-04
4.820000000000000000e+02,5.662000000000000000e+03,9.215494791666666297e-01,1.042232930501302141e-01,1.029592707316080713e-01,1.264022318522142752e-03
5.120000000000000000e+02,5.632000000000000000e+03,9.166666666666666297e-01,1.043086680094401086e-01,1.029631072998046931e-01,1.345560709635415519e-03
6.940000000000000000e+02,5.450000000000000000e+03,8.870442708333333703e-01,1.050165435791015622e-01,1.029997095743815094e-01,2.016834004720052809e-03
7.680000000000000000e+02,5.376000000000000000e+03,8.750000000000000000e-01,1.053358825683593791e-01,1.030140146891276032e-01,2.321867879231775955e-03
9.980000000000000000e+02,5.146000000000000000e+03,8.375651041666666297e-01,1.064314117431640616e-01,1.030874293009440140e-01,3.343982442220047591e-03
1.024000000000000000e+03,5.120000000000000000e+03,8.333333333333333703e-01,1.065558141072591170e-01,1.031024312337239651e-01,3.453382873535151831e-03
1.280000000000000000e+03,4.864000000000000000e+03,7.916666666666666297e-01,1.080341044108072968e-01,1.032121195475260433e-01,4.821984863281253419e-03
1.435000000000000000e+03,4.709000000000000000e+03,7.664388020833333703e-01,1.089895421346028653e-01,1.032811096191406236e-01,5.708432515462241730e-03
1.536000000000000000e+03,4.608000000000000000e+03,7.500000000000000000e-01,1.098325429280598980e-01,1.033259145100911408e-01,6.506628417968757239e-03
1.792000000000000000e+03,4.352000000000000000e+03,7.083333333333333703e-01,1.118057749430338560e-01,1.034448064168294323e-01,8.360968526204423656e-03
2.048000000000000000e+03,4.096000000000000000e+03,6.666666666666666297e-01,1.144443471272786478e-01,1.035890457153320343e-01,1.085530141194661347e-02
2.065000000000000000e+03,4.079000000000000000e+03,6.638997395833333703e-01,1.146133789062499936e-01,1.036002578735351620e-01,1.101312103271483156e-02
2.304000000000000000e+03,3.840000000000000000e+03,6.250000000000000000e-01,1.176608571370442724e-01,1.037768564860025999e-01,1.388400065104167247e-02
2.560000000000000000e+03,3.584000000000000000e+03,5.833333333333333703e-01,1.216173380533854126e-01,1.039538645426432290e-01,1.766347351074218364e-02
2.816000000000000000e+03,3.328000000000000000e+03,5.416666666666666297e-01,1.263598866780598906e-01,1.042338963826497378e-01,2.212599029541015283e-02
2.969000000000000000e+03,3.175000000000000000e+03,5.167643229166666297e-01,1.300270131429036580e-01,1.044129659016927031e-01,2.561404724121095489e-02
