n_pruned,n_kept,keep_frac,rec_prior,rec_zero,prior_zero_gap
0.000000000000000000e+00,6.144000000000000000e+03,1.000000000000000000e+00,1.028804346720377655e-01,1.028804346720377655e-01,0.000000000000000000e+00
1.000000000000000000e+00,6.143000000000000000e+03,9.998372395833333703e-01,1.028816864013671895e-01,1.028821177164713496e-01,-4.313151041601681612e-07
2.000000000000000000e+00,6.142000000000000000e+03,9.996744791666666297e-01,1.028864685058593770e-01,1.028802800496419340e-01,6.188456217443016882e-06
3.000000000000000000e+00,6.141000000000000000e+03,9.995117187500000000e-01,1.028870488484700529e-01,1.028814448038736923e-01,5.604044596360657771e-06
4.000000000000000000e+00,6.140000000000000000e+03,9.993489583333333703e-01,1.028878672281900997e-01,1.028824935913085908e-01,5.373636881508825347e-06
6.000000000000000000e+00,6.138000000000000000e+03,9.990234375000000000e-01,1.028891357421874986e-01,1.028832814534505202e-01,5.854288736978352503e-06
9.000000000000000000e+00,6.135000000000000000e+03,9.985351562500000000e-01,1.028955678304036420e-01,1.028820195515950525e-01,1.354827880858944233e-05
1.300000000000000000e+01,6.131000000000000000e+03,9.978841145833333703e-01,1.029017588297526098e-01,1.028821848551432355e-01,1.957397460937426725e-05
1.800000000000000000e+01,6.126000000000000000e+03,9.970703125000000000e-01,1.029099324544270888e-01,1.028818745930989570e-01,2.805786132813181677e-05
2.600000000000000000e+01,6.118000000000000000e+03,9.957682291666666297e-01,1.029296020507812492e-01,1.028841217041015638e-01,4.548034667968547939e-05
3.800000000000000000e+01,6.106000000000000000e+03,9.938151041666666297e-01,1.029533569335937537e-01,1.028841094970703168e-01,6.924743652343690048e-05
5.400000000000000000e+01,6.090000000000000000e+03,9.912109375000000000e-01,1.029904434204101521e-01,1.028868743896484417e-01,1.035690307617104233e-04
7.800000000000000000e+01,6.066000000000000000e+03,9.873046875000000000e-01,1.030309677124023465e-01,1.028860209147135357e-01,1.449467976888108023e-04
1.130000000000000000e+02,6.031000000000000000e+03,9.816080729166666297e-01,1.031073394775390561e-01,1.028912740071614568e-01,2.160654703775993779e-04
1.620000000000000000e+02,5.982000000000000000e+03,9.736328125000000000e-01,1.032282292683919245e-01,1.028977528889973986e-01,3.304763793945258987e-04
2.330000000000000000e+02,5.911000000000000000e+03,9.620768229166666297e-01,1.034360743204752603e-01,1.029191970825195368e-01,5.168772379557234897e-04
2.560000000000000000e+02,5.888000000000000000e+03,9.583333333333333703e-01,1.035189437866210899e-01,1.029237772623697866e-01,5.951665242513032306e-04
3.350000000000000000e+02,5.809000000000000000e+03,9.454752604166666297e-01,1.036993937174479213e-01,1.029291137695312469e-01,7.702799479166744234e-04
4.820000000000000000e+02,5.662000000000000000e+03,9.215494791666666297e-01,1.042193252563476530e-01,1.029642374674479138e-01,1.255087788899739154e-03
5.120000000000000000e+02,5.632000000000000000e+03,9.166666666666666297e-01,1.043104644775390694e-01,1.029662012736002608e-01,1.344263203938808604e-03
6.940000000000000000e+02,5.450000000000000000e+03,8.870442708333333703e-01,1.050091267903645875e-01,1.030043869018554686e-01,2.004739888509118884e-03
7.680000000000000000e+02,5.376000000000000000e+03,8.750000000000000000e-01,1.053387751261393168e-01,1.030149800618489625e-01,2.323795064290354317e-03
9.980000000000000000e+02,5.146000000000000000e+03,8.375651041666666297e-01,1.064448577880859337e-01,1.030927454630533868e-01,3.352112325032546858e-03
1.024000000000000000e+03,5.120000000000000000e+03,8.333333333333333703e-01,1.065638971964518178e-01,1.031088394165039085e-01,3.455057779947909302e-03
1.280000000000000000e+03,4.864000000000000000e+03,7.916666666666666297e-01,1.080271911621093761e-01,1.032189712524414077e-01,4.808219909667968417e-03
1.435000000000000000e+03,4.709000000000000000e+03,7.664388020833333703e-01,1.090195200602213504e-01,1.033293492635091182e-01,5.690170796712232248e-03
1.536000000000000000e+03,4.608000000000000000e+03,7.500000000000000000e-01,1.099045623779296849e-01,1.033558797200520851e-01,6.548682657877599733e-03
1.792000000000000000e+03,4.352000000000000000e+03,7.083333333333333703e-01,1.118756235758463502e-01,1.034897878011067640e-01,8.385835774739586190e-03
2.048000000000000000e+03,4.096000000000000000e+03,6.666666666666666297e-01,1.145521728515624948e-01,1.036857716878255148e-01,1.086640116373698006e-02
2.065000000000000000e+03,4.079000000000000000e+03,6.638997395833333703e-01,1.147327097574869781e-01,1.036786743164062469e-01,1.105403544108073122e-02
2.304000000000000000e+03,3.840000000000000000e+03,6.250000000000000000e-01,1.176952097574869849e-01,1.038381530761718768e-01,1.385705668131510804e-02
2.560000000000000000e+03,3.584000000000000000e+03,5.833333333333333703e-01,1.217795206705729189e-01,1.041253362019856771e-01,1.765418446858724177e-02
2.816000000000000000e+03,3.328000000000000000e+03,5.416666666666666297e-01,1.264215169270833383e-01,1.043136606852213544e-01,2.210785624186198395e-02
2.969000000000000000e+03,3.175000000000000000e+03,5.167643229166666297e-01,1.301955810546875092e-01,1.045962849934895800e-01,2.559929606119792922e-02
