n_pruned,n_kept,keep_frac,rec_prior,rec_zero,prior_zero_gap
0.000000000000000000e+00,6.144000000000000000e+03,1.000000000000000000e+00,4.880275421142578340e-02,4.880275421142578340e-02,0.000000000000000000e+00
1.000000000000000000e+00,6.143000000000000000e+03,9.998372395833333703e-01,4.880236867268879924e-02,4.880202585856120018e-02,3.428141275990670422e-07
2.000000000000000000e+00,6.142000000000000000e+03,9.996744791666666297e-01,4.880249048868814943e-02,4.880186614990234678e-02,6.243387858026472337e-07
3.000000000000000000e+00,6.141000000000000000e+03,9.995117187500000000e-01,4.880293121337890561e-02,4.880197397867838682e-02,9.572347005187831215e-07
4.000000000000000000e+00,6.140000000000000000e+03,9.993489583333333703e-01,4.880258941650390814e-02,4.880217692057291917e-02,4.124959309889653092e-07
6.000000000000000000e+00,6.138000000000000000e+03,9.990234375000000000e-01,4.880379536946614916e-02,4.880207544962564953e-02,1.719919840499628538e-06
9.000000000000000000e+00,6.135000000000000000e+03,9.985351562500000000e-01,4.880534439086914311e-02,4.880223159790039039e-02,3.112792968752720046e-06
1.300000000000000000e+01,6.131000000000000000e+03,9.978841145833333703e-01,4.880451202392577931e-02,4.880244598388672195e-02,2.066040039057359667e-06
1.800000000000000000e+01,6.126000000000000000e+03,9.970703125000000000e-01,4.880706481933593660e-02,4.880187632242838358e-02,5.188496907553019621e-06
2.600000000000000000e+01,6.118000000000000000e+03,9.957682291666666297e-01,4.880944976806640689e-02,4.880106252034505099e-02,8.387247721355906016e-06
3.800000000000000000e+01,6.106000000000000000e+03,9.938151041666666297e-01,4.881169281005859339e-02,4.880225270589192560e-02,9.440104166667795393e-06
5.400000000000000000e+01,6.090000000000000000e+03,9.912109375000000000e-01,4.881407470703125195e-02,4.880160319010416747e-02,1.247151692708448056e-05
7.800000000000000000e+01,6.066000000000000000e+03,9.873046875000000000e-01,4.882025299072265817e-02,4.880193990071614307e-02,1.831309000651509811e-05
1.130000000000000000e+02,6.031000000000000000e+03,9.816080729166666297e-01,4.883073298136392931e-02,4.880132726033528656e-02,2.940572102864275061e-05
1.620000000000000000e+02,5.982000000000000000e+03,9.736328125000000000e-01,4.884020665486653312e-02,4.880229670206705922e-02,3.790995279947390051e-05
2.330000000000000000e+02,5.911000000000000000e+03,9.620768229166666297e-01,4.885471649169921549e-02,4.880151214599609544e-02,5.320434570312004841e-05
2.560000000000000000e+02,5.888000000000000000e+03,9.583333333333333703e-01,4.886158370971679932e-02,4.880282948811848903e-02,5.875422159831028557e-05
3.350000000000000000e+02,5.809000000000000000e+03,9.454752604166666297e-01,4.888352101643880093e-02,4.880295206705729388e-02,8.056894938150704899e-05
4.820000000000000000e+02,5.662000000000000000e+03,9.215494791666666297e-01,4.891290537516276155e-02,4.880333964029948124e-02,1.095657348632803063e-04
5.120000000000000000e+02,5.632000000000000000e+03,9.166666666666666297e-01,4.892657521565755424e-02,4.880313339233398329e-02,1.234418233235709539e-04
