n_pruned,n_kept,keep_frac,rec_prior,rec_zero,prior_zero_gap
0.000000000000000000e+00,6.144000000000000000e+03,1.000000000000000000e+00,4.880275421142578340e-02,4.880275421142578340e-02,0.000000000000000000e+00
1.000000000000000000e+00,6.143000000000000000e+03,9.998372395833333703e-01,4.880265350341796843e-02,4.880182037353515689e-02,8.331298828115341060e-07
2.000000000000000000e+00,6.142000000000000000e+03,9.996744791666666297e-01,4.880240783691406486e-02,4.880084940592448184e-02,1.558430989583026172e-06
3.000000000000000000e+00,6.141000000000000000e+03,9.995117187500000000e-01,4.880269368489583565e-02,4.880115661621093476e-02,1.537068684900888549e-06
4.000000000000000000e+00,6.140000000000000000e+03,9.993489583333333703e-01,4.880276463826497407e-02,4.880128885904948255e-02,1.475779215491523910e-06
6.000000000000000000e+00,6.138000000000000000e+03,9.990234375000000000e-01,4.880361938476562161e-02,4.880184783935546944e-02,1.771545410152175481e-06
9.000000000000000000e+00,6.135000000000000000e+03,9.985351562500000000e-01,4.880490570068359707e-02,4.880192184448241960e-02,2.983856201177470524e-06
1.300000000000000000e+01,6.131000000000000000e+03,9.978841145833333703e-01,4.880512771606445449e-02,4.880158081054687680e-02,3.546905517577692013e-06
1.800000000000000000e+01,6.126000000000000000e+03,9.970703125000000000e-01,4.880597737630208016e-02,4.880250498453776037e-02,3.472391764319793239e-06
2.600000000000000000e+01,6.118000000000000000e+03,9.957682291666666297e-01,4.880973002115885501e-02,4.880232594807942803e-02,7.404073079426976012e-06
3.800000000000000000e+01,6.106000000000000000e+03,9.938151041666666297e-01,4.881071777343749807e-02,4.880166422526041603e-02,9.053548177082038073e-06
5.400000000000000000e+01,6.090000000000000000e+03,9.912109375000000000e-01,4.881441675821940329e-02,4.880139872233072579e-02,1.301803588867750383e-05
7.800000000000000000e+01,6.066000000000000000e+03,9.873046875000000000e-01,4.882020416259765655e-02,4.880169881184896058e-02,1.850535074869597008e-05
1.130000000000000000e+02,6.031000000000000000e+03,9.816080729166666297e-01,4.883064066569010181e-02,4.880249074300130330e-02,2.814992268879851212e-05
1.620000000000000000e+02,5.982000000000000000e+03,9.736328125000000000e-01,4.883951110839843818e-02,4.880193176269530947e-02,3.757934570312870814e-05
2.330000000000000000e+02,5.911000000000000000e+03,9.620768229166666297e-01,4.885449218750000100e-02,4.880319112141927318e-02,5.130106608072781960e-05
2.560000000000000000e+02,5.888000000000000000e+03,9.583333333333333703e-01,4.886299438476562201e-02,4.880269927978515832e-02,6.029510498046369849e-05
3.350000000000000000e+02,5.809000000000000000e+03,9.454752604166666297e-01,4.888291066487630149e-02,4.880217386881510744e-02,8.073679606119404939e-05
4.820000000000000000e+02,5.662000000000000000e+03,9.215494791666666297e-01,4.891283620198567939e-02,4.880303344726562298e-02,1.098027547200564058e-04
5.120000000000000000e+02,5.632000000000000000e+03,9.166666666666666297e-01,4.892362162272135412e-02,4.880321884155273265e-02,1.204027811686214644e-04
6.940000000000000000e+02,5.450000000000000000e+03,8.870442708333333703e-01,4.896278661092122453e-02,4.880456263224283719e-02,1.582239786783873337e-04
7.680000000000000000e+02,5.376000000000000000e+03,8.750000000000000000e-01,4.897917226155598658e-02,4.880355529785156132e-02,1.756169637044252552e-04
9.980000000000000000e+02,5.146000000000000000e+03,8.375651041666666297e-01,4.903466746012370009e-02,4.880448048909505343e-02,2.301869710286466586e-04
1.024000000000000000e+03,5.120000000000000000e+03,8.333333333333333703e-01,4.903857777913411126e-02,4.880389684041341186e-02,2.346809387206993947e-04
1.280000000000000000e+03,4.864000000000000000e+03,7.916666666666666297e-01,4.910057576497395965e-02,4.880539042154947993e-02,2.951853434244797181e-04
1.435000000000000000e+03,4.709000000000000000e+03,7.664388020833333703e-01,4.913977711995442393e-02,4.880527140299479455e-02,3.345057169596293845e-04
1.536000000000000000e+03,4.608000000000000000e+03,7.500000000000000000e-01,4.916038462320963809e-02,4.880543314615885114e-02,3.549514770507869454e-04
1.792000000000000000e+03,4.352000000000000000e+03,7.083333333333333703e-01,4.921884791056314878e-02,4.880511881510416622e-02,4.137290954589825653e-04
2.048000000000000000e+03,4.096000000000000000e+03,6.666666666666666297e-01,4.929131927490234405e-02,4.880686391194661439e-02,4.844553629557296626e-04
