n_pruned,n_kept,keep_frac,rec_prior,rec_zero,prior_zero_gap
0.000000000000000000e+00,6.144000000000000000e+03,1.000000000000000000e+00,5.677424265543620091e-02,5.677424265543620091e-02,0.000000000000000000e+00
1.000000000000000000e+00,6.143000000000000000e+03,9.998372395833333703e-01,5.677501271565755375e-02,5.677450358072917008e-02,5.091349283836699158e-07
2.000000000000000000e+00,6.142000000000000000e+03,9.996744791666666297e-01,5.677428894042968466e-02,5.677438812255859030e-02,-9.918212890563937734e-08
3.000000000000000000e+00,6.141000000000000000e+03,9.995117187500000000e-01,5.677584838867187622e-02,5.677489369710286143e-02,9.546915690147872446e-07
4.000000000000000000e+00,6.140000000000000000e+03,9.993489583333333703e-01,5.677647094726562260e-02,5.677441507975260204e-02,2.055867513020559478e-06
6.000000000000000000e+00,6.138000000000000000e+03,9.990234375000000000e-01,5.677684631347656302e-02,5.677460021972656479e-02,2.246093749998234745e-06
9.000000000000000000e+00,6.135000000000000000e+03,9.985351562500000000e-01,5.677692057291666705e-02,5.677411651611328353e-02,2.804056803383525587e-06
1.300000000000000000e+01,6.131000000000000000e+03,9.978841145833333703e-01,5.677769317626953083e-02,5.677539062499999817e-02,2.302551269532659983e-06
1.800000000000000000e+01,6.126000000000000000e+03,9.970703125000000000e-01,5.678045552571614474e-02,5.677498575846354201e-02,5.469767252602730778e-06
2.600000000000000000e+01,6.118000000000000000e+03,9.957682291666666297e-01,5.678350016276041690e-02,5.677484436035156595e-02,8.655802408850943319e-06
3.800000000000000000e+01,6.106000000000000000e+03,9.938151041666666297e-01,5.678597106933593736e-02,5.677422892252604464e-02,1.174214680989271731e-05
5.400000000000000000e+01,6.090000000000000000e+03,9.912109375000000000e-01,5.679055480957031360e-02,5.677512563069661566e-02,1.542917887369793517e-05
7.800000000000000000e+01,6.066000000000000000e+03,9.873046875000000000e-01,5.679769287109374953e-02,5.677477671305338619e-02,2.291615804036334358e-05
1.130000000000000000e+02,6.031000000000000000e+03,9.816080729166666297e-01,5.681119486490885523e-02,5.677473297119140644e-02,3.646189371744879004e-05
1.620000000000000000e+02,5.982000000000000000e+03,9.736328125000000000e-01,5.682478993733723616e-02,5.677460581461588746e-02,5.018412272134870067e-05
2.330000000000000000e+02,5.911000000000000000e+03,9.620768229166666297e-01,5.683998921712239694e-02,5.677533721923828242e-02,6.465199788411452042e-05
2.560000000000000000e+02,5.888000000000000000e+03,9.583333333333333703e-01,5.684977213541666380e-02,5.677497762044270840e-02,7.479451497395539494e-05
3.350000000000000000e+02,5.809000000000000000e+03,9.454752604166666297e-01,5.686969757080077847e-02,5.677471364339192750e-02,9.498392740885097663e-05
4.820000000000000000e+02,5.662000000000000000e+03,9.215494791666666297e-01,5.691652425130208637e-02,5.677550862630208195e-02,1.410156250000044187e-04
5.120000000000000000e+02,5.632000000000000000e+03,9.166666666666666297e-01,5.692610931396484275e-02,5.677589467366536691e-02,1.502146402994758434e-04
6.940000000000000000e+02,5.450000000000000000e+03,8.870442708333333703e-01,5.697294871012369838e-02,5.677690327962239825e-02,1.960454305013001330e-04
7.680000000000000000e+02,5.376000000000000000e+03,8.750000000000000000e-01,5.700148824055989438e-02,5.677609812418620006e-02,2.253901163736943269e-04
