n_pruned,n_kept,keep_frac,rec_prior,rec_zero,prior_zero_gap
0.000000000000000000e+00,6.144000000000000000e+03,1.000000000000000000e+00,5.677424265543620091e-02,5.677424265543620091e-02,0.000000000000000000e+00
1.000000000000000000e+00,6.143000000000000000e+03,9.998372395833333703e-01,5.677522684733073144e-02,5.677546132405598966e-02,-2.344767252582258266e-07
2.000000000000000000e+00,6.142000000000000000e+03,9.996744791666666297e-01,5.677526397705077998e-02,5.677551727294921635e-02,-2.532958984363675725e-07
3.000000000000000000e+00,6.141000000000000000e+03,9.995117187500000000e-01,5.677508138020833511e-02,5.677522837320963384e-02,-1.469930012987230583e-07
4.000000000000000000e+00,6.140000000000000000e+03,9.993489583333333703e-01,5.677649281819661248e-02,5.677507578531901244e-02,1.417032877600032936e-06
6.000000000000000000e+00,6.138000000000000000e+03,9.990234375000000000e-01,5.677732442220052161e-02,5.677569478352864629e-02,1.629638671875321965e-06
9.000000000000000000e+00,6.135000000000000000e+03,9.985351562500000000e-01,5.677795918782552187e-02,5.677432200113931987e-02,3.637186686201998587e-06
1.300000000000000000e+01,6.131000000000000000e+03,9.978841145833333703e-01,5.677932586669921788e-02,5.677406565348307177e-02,5.260213216146114590e-06
1.800000000000000000e+01,6.126000000000000000e+03,9.970703125000000000e-01,5.678063964843749895e-02,5.677528889973958159e-02,5.350748697917351304e-06
2.600000000000000000e+01,6.118000000000000000e+03,9.957682291666666297e-01,5.678312988281249835e-02,5.677514444986979381e-02,7.985432942704540071e-06
3.800000000000000000e+01,6.106000000000000000e+03,9.938151041666666297e-01,5.678311614990234207e-02,5.677508138020833511e-02,8.034769694006960172e-06
5.400000000000000000e+01,6.090000000000000000e+03,9.912109375000000000e-01,5.678995768229166963e-02,5.677499440511067641e-02,1.496327718099321746e-05
7.800000000000000000e+01,6.066000000000000000e+03,9.873046875000000000e-01,5.679714660644531038e-02,5.677505442301432337e-02,2.209218343098701132e-05
