mu_sorted_order,dim,kl_rank_within_query,query_kl,query_mu,query_sigma
1,1947,2,0.29915666580200195,-0.7734375,1.0073511600494385
2,1414,5,0.2527220845222473,-0.7109375,0.997546374797821
3,3547,6,0.24182099103927612,-0.6953125,1.0095669031143188
4,4203,9,0.22049206495285034,-0.6640625,1.0015958547592163
5,3153,10,0.2179098129272461,0.66015625,0.9974093437194824
6,1273,8,0.22050940990447998,0.6640625,1.0044654607772827
7,5331,7,0.23365157842636108,0.68359375,1.0011680126190186
8,264,4,0.2611272931098938,0.72265625,1.0033625364303589
9,2668,3,0.2725757360458374,0.73828125,1.0067979097366333
10,4560,1,0.3862382769584656,0.87890625,1.0003949403762817
